name,club,defoff,matches,mins,goals,assists,yellow_cards,prediction
Lorenz Janine,Abtwil-Engelburg,0,0,0,0,0,0,No
Manuel Neuer,Bayern Munich,1,33,2970,0,0,1,Yes
Thomas Müller,Bayern Munich,0,32,2674,11,19,0,Yes
David Alaba,Bayern Munich,1,32,2675,2,4,4,Yes
Jérôme Boateng,Bayern Munich,1,29,2368,1,1,6,Yes
Robert Lewandowski,Bayern Munich,0,29,2458,41,7,4,Yes
Joshua Kimmich,Bayern Munich,1,27,2194,4,10,4,Yes
Kingsley Coman,Bayern Munich,0,29,1752,5,10,1,Yes
Benjamin Pavard,Bayern Munich,1,24,1943,0,0,3,Yes
Alphonso Davies,Bayern Munich,0,23,1763,1,2,2,Yes
Serge Gnabry,Bayern Munich,0,27,1644,10,2,4,Yes
Leroy Sané,Bayern Munich,0,32,1805,6,9,2,Yes
Leon Goretzka,Bayern Munich,1,24,1705,5,5,2,Yes
Lucas Hernández,Bayern Munich,1,23,1597,0,2,4,Yes
Niklas Süle,Bayern Munich,1,20,1505,1,0,1,Yes
Eric Maxim Choupo-Moting,Bayern Munich,0,22,820,3,0,2,Yes
Jamal Musiala,Bayern Munich,0,26,881,6,1,0,Yes
Corentin Tolisso,Bayern Munich,0,16,781,1,0,1,Yes
Bouna Sarr,Bayern Munich,0,8,452,0,1,1,Yes
Javi Martínez,Bayern Munich,0,19,466,0,0,0,Yes
Douglas Costa,Bayern Munich,0,11,320,1,1,0,Yes
Marc Roca,Bayern Munich,0,6,177,0,0,1,Yes
Joshua Zirkzee,Bayern Munich,0,3,92,0,0,0,No
Alexander Nübel,Bayern Munich,0,1,90,0,0,0,No
Josip Stanišić,Bayern Munich,0,1,90,0,0,0,No
Chris Richards,Bayern Munich,0,3,89,0,1,0,No
Tiago Dantas,Bayern Munich,0,2,69,0,0,0,No
Nianzou Kouassi,Bayern Munich,0,6,118,0,0,1,No
Christopher Scott,Bayern Munich,0,2,34,0,0,0,No
Mickaël Cuisance,Bayern Munich,0,1,18,0,0,0,No
Mats Hummels,Borussia Dortmund,0,33,2813,5,0,6,Yes
Erling Haaland,Borussia Dortmund,0,28,2407,27,6,2,Yes
Marco Reus,Borussia Dortmund,0,32,2279,8,6,1,Yes
