name,club,position,matches,mins,goals,assists,yellow_cards
Manuel Neuer,Bayern Munich,GK,33,2970,0,0,1
Thomas Müller,Bayern Munich,MF,32,2674,11,19,0
David Alaba,Bayern Munich,"DF,MF",32,2675,2,4,4
Jérôme Boateng,Bayern Munich,DF,29,2368,1,1,6
Robert Lewandowski,Bayern Munich,FW,29,2458,41,7,4
Joshua Kimmich,Bayern Munich,MF,27,2194,4,10,4
Kingsley Coman,Bayern Munich,"FW,MF",29,1752,5,10,1
Benjamin Pavard,Bayern Munich,DF,24,1943,0,0,3
Alphonso Davies,Bayern Munich,DF,23,1763,1,2,2
Serge Gnabry,Bayern Munich,"FW,MF",27,1644,10,2,4
Leroy Sané,Bayern Munich,"FW,MF",32,1805,6,9,2
Leon Goretzka,Bayern Munich,MF,24,1705,5,5,2
Lucas Hernández,Bayern Munich,DF,23,1597,0,2,4
Niklas Süle,Bayern Munich,DF,20,1505,1,0,1
Eric Maxim Choupo-Moting,Bayern Munich,"FW,MF",22,820,3,0,2
Jamal Musiala,Bayern Munich,"FW,MF",26,881,6,1,0
Corentin Tolisso,Bayern Munich,MF,16,781,1,0,1
Bouna Sarr,Bayern Munich,DF,8,452,0,1,1
Javi Martínez,Bayern Munich,"DF,MF",19,466,0,0,0
Douglas Costa,Bayern Munich,"FW,MF",11,320,1,1,0
Marc Roca,Bayern Munich,MF,6,177,0,0,1
Joshua Zirkzee,Bayern Munich,FW,3,92,0,0,0
Alexander Nübel,Bayern Munich,GK,1,90,0,0,0
Josip Stanišić,Bayern Munich,DF,1,90,0,0,0
Chris Richards,Bayern Munich,DF,3,89,0,1,0
Tiago Dantas,Bayern Munich,MF,2,69,0,0,0
Nianzou Kouassi,Bayern Munich,"DF,MF",6,118,0,0,1
Christopher Scott,Bayern Munich,"FW,MF",2,34,0,0,0
Mickaël Cuisance,Bayern Munich,FW,1,18,0,0,0
Mats Hummels,Borussia Dortmund,DF,33,2813,5,0,6
Erling Haaland,Borussia Dortmund,FW,28,2407,27,6,2
Marco Reus,Borussia Dortmund,"MF,FW",32,2279,8,6,1
Manuel Akanji,Borussia Dortmund,DF,28,2350,2,0,4
Raphaël Guerreiro,Borussia Dortmund,DF,27,2218,5,10,1
Jadon Sancho,Borussia Dortmund,"FW,MF",26,2062,8,11,0
Emre Can,Borussia Dortmund,"DF,MF",28,2133,1,4,5
Gio Reyna,Borussia Dortmund,"FW,MF",32,1976,4,5,1
Jude Bellingham,Borussia Dortmund,MF,29,1697,1,3,6
Roman Bürki,Borussia Dortmund,GK,19,1665,0,0,0
Julian Brandt,Borussia Dortmund,"FW,MF",31,1495,3,2,0
Thomas Meunier,Borussia Dortmund,DF,21,1472,1,1,3
Marwin Hitz,Borussia Dortmund,GK,16,1395,0,0,1
Mahmoud Dahoud,Borussia Dortmund,MF,21,1258,1,1,2
Thomas Delaney,Borussia Dortmund,MF,20,1286,1,1,6
Axel Witsel,Borussia Dortmund,MF,15,1130,0,0,4
Mateu Morey,Borussia Dortmund,DF,13,829,0,2,1
Thorgan Hazard,Borussia Dortmund,"FW,MF",16,654,1,3,0
Nico Schulz,Borussia Dortmund,DF,13,610,0,0,1
Łukasz Piszczek,Borussia Dortmund,DF,11,455,0,0,0
Felix Passlack,Borussia Dortmund,DF,7,362,1,0,0
Dan-Axel Zagadou,Borussia Dortmund,DF,9,276,0,0,0
Youssoufa Moukoko,Borussia Dortmund,"FW,MF",14,422,3,0,0
Reinier,Borussia Dortmund,"MF,FW",14,257,1,1,0
Ansgar Knauff,Borussia Dortmund,"FW,MF",4,71,1,1,0
Steffen Tigges,Borussia Dortmund,FW,6,56,0,0,0
Péter Gulácsi,RB Leipzig,GK,33,2970,0,0,0
Dayot Upamecano,RB Leipzig,DF,29,2330,1,0,6
Dani Olmo,RB Leipzig,"MF,FW",32,2194,5,9,1
Willi Orban,RB Leipzig,DF,29,2363,4,1,4
Angeliño,RB Leipzig,"DF,FW",26,2161,4,4,2
Marcel Sabitzer,RB Leipzig,MF,27,2026,8,3,8
Kevin Kampl,RB Leipzig,MF,27,1932,0,1,6
Amadou Haidara,RB Leipzig,"MF,DF",31,1905,3,1,4
Tyler Adams,RB Leipzig,"DF,MF",27,1850,1,1,3
Nordi Mukiele,RB Leipzig,DF,28,1677,3,1,5
Emil Forsberg,RB Leipzig,"FW,MF",29,1539,7,4,0
Christopher Nkunku,RB Leipzig,"FW,MF",28,1892,6,6,2
Marcel Halstenberg,RB Leipzig,DF,24,1651,2,2,2
Lukas Klostermann,RB Leipzig,DF,23,1446,1,0,2
Yussuf Poulsen,RB Leipzig,FW,27,1354,5,4,1
Alexander Sørloth,RB Leipzig,FW,29,1443,5,3,2
Justin Kluivert,RB Leipzig,FW,19,813,3,1,2
Ibrahima Konaté,RB Leipzig,DF,14,695,1,0,2
Benjamin Henrichs,RB Leipzig,"DF,MF",13,540,0,1,3
Hwang Hee-chan,RB Leipzig,"FW,MF",18,460,0,1,2
Lazar Samardzic,RB Leipzig,"MF,FW",7,200,0,1,0
Josep Martinez,RB Leipzig,GK,1,90,0,0,0
Konrad Laimer,RB Leipzig,"DF,FW",3,84,0,0,0
Joscha Wosz,RB Leipzig,"DF,FW",2,34,0,0,0
Dennis Borkowski,RB Leipzig,MF,2,11,0,0,0
Wout Weghorst,Wolfsburg,FW,34,2941,20,8,3
Koen Casteels,Wolfsburg,GK,32,2880,0,0,0
John Brooks,Wolfsburg,DF,32,2774,2,0,5
Ridle Baku,Wolfsburg,"FW,DF",32,2678,6,7,1
Xaver Schlager,Wolfsburg,MF,32,2626,2,4,7
Maximilian Arnold,Wolfsburg,MF,30,2585,3,6,7
Maxence Lacroix,Wolfsburg,DF,30,2590,1,1,5
Josip Brekalo,Wolfsburg,FW,29,1814,7,3,1
Yannick Gerhardt,Wolfsburg,"MF,FW",29,1936,2,4,3
Paulo Otávio,Wolfsburg,DF,23,1737,0,2,7
Kevin Mbabu,Wolfsburg,DF,22,1642,0,1,7
Renato Steffen,Wolfsburg,"FW,MF",21,1566,5,4,3
Jérôme Roussillon,Wolfsburg,DF,20,1229,0,2,0
Maximilian Philipp,Wolfsburg,MF,24,1111,6,2,3
Admir Mehmedi,Wolfsburg,"MF,FW",18,820,0,2,0
Josuha Guilavogui,Wolfsburg,"MF,DF",20,747,0,1,3
Marin Pongračić,Wolfsburg,DF,10,575,0,0,2
Kevin Trapp,Eintracht Frankfurt,GK,33,2970,0,0,0
André Silva,Eintracht Frankfurt,FW,32,2760,28,7,1
Filip Kostić,Eintracht Frankfurt,DF,30,2534,4,14,4
Martin Hinteregger,Eintracht Frankfurt,DF,29,2527,2,1,4
Daichi Kamada,Eintracht Frankfurt,"MF,FW",32,2356,5,12,3
Makoto Hasebe,Eintracht Frankfurt,"DF,MF",29,2288,0,0,5
Djibril Sow,Eintracht Frankfurt,MF,28,2175,0,2,6
Obite N'Dicka,Eintracht Frankfurt,DF,23,2044,3,1,10
Sebastian Rode,Eintracht Frankfurt,MF,27,1625,1,0,10
Erik Durm,Eintracht Frankfurt,DF,21,1480,1,2,1
Stefan Ilsanker,Eintracht Frankfurt,"MF,DF",27,1578,1,0,4
Tuta,Eintracht Frankfurt,DF,19,1459,0,0,5
Amin Younes,Eintracht Frankfurt,"MF,FW",26,1391,3,3,5
David Abraham,Eintracht Frankfurt,DF,14,1222,1,0,5
Aymen Barkok,Eintracht Frankfurt,"FW,MF",26,977,2,3,5
Bas Dost,Eintracht Frankfurt,FW,12,817,4,2,3
Luka Jović,Eintracht Frankfurt,"FW,MF",18,894,4,1,2
Almamy Touré,Eintracht Frankfurt,DF,17,704,1,1,2
Steven Zuber,Eintracht Frankfurt,"DF,MF",20,585,0,3,1
Timothy Chandler,Eintracht Frankfurt,DF,15,432,1,0,2
Dominik Kohr,Eintracht Frankfurt,"MF,FW",7,260,0,0,1
Ajdin Hrustic,Eintracht Frankfurt,"MF,FW",11,272,1,0,2
Danny da Costa,Eintracht Frankfurt,DF,6,110,0,0,0
Elias Bördner,Eintracht Frankfurt,GK,1,90,0,0,0
Ragnar Ache,Eintracht Frankfurt,"FW,DF",7,100,1,0,1
Edmond Tapsoba,Bayer Leverkusen,DF,31,2652,1,0,5
Lukáš Hrádecký,Bayer Leverkusen,GK,29,2565,0,0,1
Moussa Diaby,Bayer Leverkusen,"FW,MF",32,2388,4,11,5
Florian Wirtz,Bayer Leverkusen,MF,29,2224,5,6,1
Leon Bailey,Bayer Leverkusen,"FW,MF",30,2141,9,8,6
Jonathan Tah,Bayer Leverkusen,DF,27,2219,1,0,3
Nadiem Amiri,Bayer Leverkusen,MF,29,1890,2,6,5
Patrik Schick,Bayer Leverkusen,FW,29,1866,9,1,4
Kerem Demirbay,Bayer Leverkusen,MF,29,1744,4,3,2
Charles Aránguiz,Bayer Leverkusen,MF,21,1669,0,0,4
Daley Sinkgraven,Bayer Leverkusen,DF,22,1570,0,0,4
Wendell,Bayer Leverkusen,DF,22,1457,0,0,3
Sven Bender,Bayer Leverkusen,DF,18,1170,0,0,1
Lucas Alario,Bayer Leverkusen,FW,25,1245,11,2,2
Julian Baumgartlinger,Bayer Leverkusen,MF,17,1072,2,0,1
Lars Bender,Bayer Leverkusen,DF,14,936,1,2,2
Aleksandar Dragović,Bayer Leverkusen,DF,18,1136,1,0,3
Karim Bellarabi,Bayer Leverkusen,"FW,MF",22,798,0,0,2
Exequiel Palacios,Bayer Leverkusen,MF,9,572,0,0,1
Demarai Gray,Bayer Leverkusen,FW,10,442,1,2,0
Timothy Fosu-Mensah,Bayer Leverkusen,DF,6,409,0,0,2
Jeremie Frimpong,Bayer Leverkusen,"DF,FW",10,436,0,0,1
Lennart Grill,Bayer Leverkusen,GK,4,360,0,0,0
Mitchell Weiser,Bayer Leverkusen,DF,5,226,1,0,0
Tin Jedvaj,Bayer Leverkusen,DF,3,152,0,0,0
Niklas Lomb,Bayer Leverkusen,GK,2,135,0,0,0
Santiago Arias,Bayer Leverkusen,DF,1,90,0,0,0
Paulinho,Bayer Leverkusen,FW,1,65,0,0,0
Marvin Friedrich,Union Berlin,DF,34,3060,5,2,1
Robin Knoche,Union Berlin,DF,34,3042,1,0,4
Andreas Luthe,Union Berlin,GK,31,2768,0,0,1
Christopher Trimmel,Union Berlin,DF,31,2572,1,9,9
Robert Andrich,Union Berlin,MF,29,2526,5,2,5
Christopher Lenz,Union Berlin,DF,27,2248,0,3,3
Marcus Ingvartsen,Union Berlin,"MF,FW",30,1963,3,5,4
Grischa Prömel,Union Berlin,MF,24,1816,3,1,7
Max Kruse,Union Berlin,"FW,MF",22,1629,11,5,0
Taiwo Awoniyi,Union Berlin,FW,21,1359,5,2,0
Nico Schlotterbeck,Union Berlin,DF,16,1285,1,0,4
Sheraldo Becker,Union Berlin,"FW,MF",18,1106,3,3,2
Christian Gentner,Union Berlin,MF,22,1033,0,0,0
